open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1674000000000,7.61150,7.69760,7.60990,7.62100,1639114.3,1674000899999,12557620.352060,23440,830147.4,6360898.197920,0
1674000900000,7.61990,7.63550,7.54340,7.58220,1774255.0,1674001799999,13473145.246100,25849,850727.6,6461168.099720,0
1674001800000,7.58210,7.70000,7.57800,7.68560,1515733.8,1674002699999,11607884.342920,20370,883216.6,6763149.911790,0
1674002700000,7.68620,7.75990,7.67910,7.73010,1481133.6,1674003599999,11450557.282010,19952,827871.1,6400314.203250,0
1674003600000,7.73030,7.85050,7.72300,7.83300,1802785.3,1674004499999,14058684.592650,23999,987035.1,7699841.050940,0
1674004500000,7.83150,7.83800,7.73620,7.74660,1137818.4,1674005399999,8843882.773150,17030,542178.1,4213668.679450,0
1674005400000,7.74790,7.77870,7.73830,7.76140,610063.0,1674006299999,4733370.564730,9454,303922.1,2358517.162100,0
1674006300000,7.76220,7.79450,7.73030,7.78790,810138.1,1674007199999,6286411.674030,11997,466634.2,3621982.194720,0
1674007200000,7.78910,7.79050,7.72220,7.73070,691893.4,1674008099999,5364060.975480,10639,320146.6,2481910.434030,0
1674008100000,7.73100,7.77370,7.72230,7.72810,525254.2,1674008999999,4070943.537480,8076,248108.8,1922606.696710,0
1674009000000,7.72770,7.78400,7.67360,7.75750,1194943.7,1674009899999,9226763.618650,18426,600453.3,4638359.092460,0
1674009900000,7.75990,7.85000,7.75200,7.80280,1406814.0,1674010799999,10988909.762210,22331,740085.0,5781051.485790,0
1674010800000,7.80270,7.83980,7.75720,7.83730,974148.3,1674011699999,7590907.768870,16460,517189.1,4031782.125430,0
1674011700000,7.83660,7.89670,7.75960,7.79010,1209278.5,1674012599999,9458091.448300,17005,632168.2,4946430.774740,0
1674012600000,7.78870,7.78970,7.72720,7.74710,815913.6,1674013499999,6328511.500070,11179,389350.5,3020525.754850,0
1674013500000,7.74710,7.78630,7.73580,7.73840,462015.6,1674014399999,3586033.053160,6964,239717.7,1860755.839550,0
1674014400000,7.73840,7.76520,7.69060,7.74450,719019.5,1674015299999,5558320.147530,10739,355715.8,2750471.968830,0
1674015300000,7.74440,7.77240,7.72880,7.76740,386623.2,1674016199999,2997178.268120,6171,196772.5,1525460.896930,0
1674016200000,7.76730,7.77510,7.73010,7.74900,303896.5,1674017099999,2355016.524840,5255,159146.1,1233273.368500,0
1674017100000,7.74680,7.75990,7.72610,7.75660,256421.5,1674017999999,1986415.335220,4434,125633.0,973420.665340,0
1674018000000,7.75690,7.80380,7.75680,7.79840,508562.1,1674018899999,3955330.965370,6527,226904.5,1764930.814850,0
1674018900000,7.79830,7.82640,7.78130,7.79520,451471.2,1674019799999,3521047.035590,6431,241883.0,1886391.692610,0
1674019800000,7.79480,7.82000,7.77110,7.81360,420066.0,1674020699999,3273997.759480,6730,203993.0,1590001.186630,0
1674020700000,7.81310,7.83980,7.80850,7.83370,454785.5,1674021599999,3556830.600590,7136,245798.7,1922636.796570,0
1674021600000,7.83230,7.83670,7.73820,7.75510,726513.5,1674022499999,5658435.096950,11551,344693.8,2685218.507520,0
1674022500000,7.75470,7.76600,7.70770,7.72650,816455.6,1674023399999,6317512.705200,11182,303167.3,2346497.244190,0
1674023400000,7.72670,7.74590,7.70000,7.72070,530992.8,1674024299999,4100434.383980,8314,258061.9,1993265.341950,0
1674024300000,7.72010,7.72280,7.65670,7.70500,775856.3,1674025199999,5967741.110200,11835,358196.4,2756172.166970,0
1674025200000,7.70430,7.71170,7.63080,7.69310,1055299.1,1674026099999,8089351.390680,16742,446070.3,3419842.912750,0
1674026100000,7.69300,7.73410,7.63670,7.70630,1200943.8,1674026999999,9234042.196600,16880,653608.1,5025665.773520,0
1674027000000,7.70510,7.70760,7.64040,7.64890,670554.3,1674027899999,5139855.880670,9887,334166.8,2560734.751140,0
1674027900000,7.64840,7.67730,7.64000,7.66900,410309.9,1674028799999,3142556.894370,6806,214417.8,1642380.788310,0
1674028800000,7.66890,7.67710,7.57920,7.59990,1405552.8,1674029699999,10708442.880890,19522,558543.9,4257252.784180,0
1674029700000,7.60060,7.61880,7.41500,7.52190,4139654.7,1674030599999,31079705.785060,49124,1751545.3,13158089.537510,0
1674030600000,7.52010,7.55500,7.48000,7.51710,1077570.5,1674031499999,8106780.638480,14923,530026.5,3989319.318860,0
1674031500000,7.51820,7.53240,7.47000,7.50690,884443.6,1674032399999,6633622.784850,13122,418592.5,3140162.235570,0
1674032400000,7.50680,7.53330,7.39760,7.48610,2030401.2,1674033299999,15152070.971780,26695,813543.2,6075191.584470,0
1674033300000,7.48550,7.52610,7.45610,7.52170,1070726.8,1674034199999,8025871.268100,15016,575943.7,4317642.814450,0
1674034200000,7.52260,7.52260,7.43250,7.43560,1313840.0,1674035099999,9820965.819710,17945,585720.5,4378557.626400,0
1674035100000,7.43700,7.49590,7.43230,7.48890,682867.9,1674035999999,5102169.749720,10080,345934.6,2584657.905730,0
1674036000000,7.48870,7.51000,7.46550,7.50800,584069.8,1674036899999,4375523.195610,8886,311821.5,2336275.620610,0
1674036900000,7.50720,7.56090,7.49510,7.53200,1091612.1,1674037799999,8222956.726920,13525,580988.5,4377184.448910,0
1674037800000,7.53180,7.53180,7.47610,7.48740,791009.0,1674038699999,5928326.340090,10235,380100.8,2848560.355980,0
1674038700000,7.48770,7.52070,7.45700,7.48200,642109.6,1674039599999,4809071.247990,8167,284524.7,2131573.453230,0
1674039600000,7.48200,7.64500,7.47540,7.61280,1976336.3,1674040499999,14954274.637830,22955,1158380.3,8764591.891940,0
1674040500000,7.61280,7.67180,7.59380,7.64740,1754903.0,1674041399999,13396742.032760,21339,930913.0,7107124.596640,0
1674041400000,7.64800,7.67710,7.60390,7.63260,665191.0,1674042299999,5080491.925730,9546,344137.8,2628825.551060,0
1674042300000,7.63270,7.64440,7.58380,7.59000,633710.1,1674043199999,4818606.868080,8955,279133.2,2122434.401860,0
1674043200000,7.58990,7.66810,7.58620,7.64540,960097.4,1674044099999,7335981.404710,12032,525609.6,4015444.120330,0
1674044100000,7.64610,7.66560,7.60780,7.61790,555116.7,1674044999999,4236208.046300,7404,238532.5,1820112.963250,0
1674045000000,7.61770,7.65370,7.59900,7.64790,538239.0,1674045899999,4104611.374400,7756,300855.7,2294673.493000,0
1674045900000,7.64820,7.66470,7.62890,7.63170,531365.4,1674046799999,4064089.104380,7881,259170.9,1982515.857830,0
1674046800000,7.63090,7.66990,7.62420,7.65560,658388.1,1674047699999,5035513.740570,9564,337768.4,2583299.967570,0
1674047700000,7.65570,7.66760,7.58900,7.60040,874204.2,1674048599999,6666021.675420,11656,387584.0,2955494.256070,0
1674048600000,7.60070,7.69960,7.53000,7.68980,3030005.2,1674049499999,23118051.194960,38883,1544469.4,11786959.321070,0
1674049500000,7.69000,7.82870,7.67160,7.77420,3592935.8,1674050399999,27932374.380750,42589,1868287.4,14523686.976080,0
1674050400000,7.77390,7.83980,7.73000,7.79050,2084617.8,1674051299999,16237585.605170,26675,1031489.2,8036616.149290,0
1674051300000,7.78910,7.83980,7.69000,7.71320,2052255.5,1674052199999,15924989.560310,27722,963097.6,7479304.624420,0
1674052200000,7.71270,7.75770,7.69400,7.69860,1301002.1,1674053099999,10047478.673740,18501,627005.9,4842913.109890,0
1674053100000,7.69870,7.74850,7.69870,7.72460,617653.3,1674053999999,4773673.383200,9535,315660.6,2439829.032670,0
1674054000000,7.72360,7.77000,7.70280,7.71490,993789.3,1674054899999,7683700.174700,13900,461426.4,3568838.937010,0
1674054900000,7.71430,7.73000,7.65720,7.68960,959277.7,1674055799999,7375890.008200,13502,448907.8,3453222.539540,0
1674055800000,7.68990,7.69150,7.50000,7.54130,2385931.5,1674056699999,18097843.146050,30027,1022102.7,7753392.752140,0
1674056700000,7.54230,7.57380,7.02430,7.27610,8600045.0,1674057599999,62743096.450240,92167,3548023.7,25941913.481620,0
1674057600000,7.27610,7.34750,7.22000,7.33450,4363870.7,1674058499999,31780883.816140,55343,2187565.3,15936382.119450,0
1674058500000,7.33450,7.42000,7.01000,7.26310,6854203.4,1674059399999,49692956.728150,83389,3340444.9,24256048.547610,0
