open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1674172800000,7.86930,7.87210,7.76110,7.79200,1811122.0,1674173699999,14138148.254720,20856,803750.5,6273356.793620,0
1674173700000,7.79190,7.83930,7.75180,7.81160,1051377.8,1674174599999,8194842.376950,14432,546011.4,4256825.109480,0
1674174600000,7.81310,7.83630,7.76920,7.79170,720290.5,1674175499999,5616984.162050,9930,353202.7,2754641.802270,0
1674175500000,7.79100,7.80000,7.75460,7.78690,481255.3,1674176399999,3741766.136390,7089,224149.9,1743020.614080,0
1674176400000,7.78700,7.81950,7.75520,7.81640,543639.0,1674177299999,4229006.765380,7748,276344.8,2150430.324360,0
1674177300000,7.81640,8.13880,7.81640,8.07290,4009675.5,1674178199999,32101381.557470,47828,2289407.8,18327773.290910,0
1674178200000,8.07210,8.20000,8.05160,8.09790,2917949.5,1674179099999,23715209.008930,34310,1538535.5,12507510.407600,0
1674179100000,8.09930,8.13340,8.06710,8.12080,1589365.3,1674179999999,12873697.221090,18603,839350.2,6799676.686360,0
1674180000000,8.12000,8.22660,8.07250,8.08100,2507751.7,1674180899999,20415259.319530,29660,1312602.9,10693436.670640,0
1674180900000,8.08120,8.11320,8.04500,8.08620,1457864.4,1674181799999,11779736.588940,17186,688925.4,5567686.278010,0
1674181800000,8.08650,8.11190,7.99310,8.00540,1472626.3,1674182699999,11843960.870130,18991,634629.0,5107577.213990,0
1674182700000,8.00420,8.03310,7.99010,8.00830,790540.0,1674183599999,6332590.596240,10685,379775.2,3042605.151370,0
1674183600000,8.00740,8.04190,7.97060,8.00260,1121509.6,1674184499999,8982202.072790,13223,557280.4,4464657.226880,0
1674184500000,8.00260,8.03290,7.95190,8.03090,837720.2,1674185399999,6699822.048610,11126,407010.5,3257425.622100,0
1674185400000,8.03100,8.05520,7.99020,8.05360,602057.6,1674186299999,4827713.371820,7543,314016.9,2518528.479320,0
1674186300000,8.05290,8.05880,8.01260,8.02910,671029.9,1674187199999,5393986.149440,8346,336923.0,2708943.851060,0
1674187200000,8.02810,8.03160,7.98850,8.01140,667949.6,1674188099999,5345056.178000,8092,315482.5,2524849.499220,0
1674188100000,8.01090,8.04560,8.00430,8.03260,491541.0,1674188999999,3944917.655840,6101,268290.4,2153536.151690,0
1674189000000,8.03260,8.05200,7.91220,7.92330,1372990.8,1674189899999,10944703.145270,16752,526224.5,4198386.230060,0
1674189900000,7.92310,7.95880,7.90160,7.91900,1419996.6,1674190799999,11264438.617660,15869,651116.3,5165742.480520,0
1674190800000,7.91870,7.95000,7.88000,7.93450,1489949.2,1674191699999,11791405.209090,16827,712516.8,5641010.171130,0
1674191700000,7.93460,7.95120,7.85640,7.90090,1091324.1,1674192599999,8618453.692520,12496,514960.2,4068908.609860,0
1674192600000,7.90130,7.91190,7.86130,7.89600,808943.8,1674193499999,6380968.944480,10028,406968.6,3210878.072390,0
1674193500000,7.89730,7.92790,7.85760,7.87940,768005.5,1674194399999,6066378.200100,8639,394995.8,3120962.538090,0
1674194400000,7.87930,7.88790,7.79560,7.84850,1773358.2,1674195299999,13901934.408560,17827,867025.8,6797916.775880,0
1674195300000,7.84860,7.91530,7.84310,7.89280,1243571.6,1674196199999,9805318.998540,13402,582447.7,4592798.153010,0
1674196200000,7.89270,7.94840,7.89000,7.90600,1006885.6,1674197099999,7976567.241450,11913,518016.7,4103922.591710,0
1674197100000,7.90630,7.92800,7.88060,7.88870,540778.7,1674197999999,4274165.904500,6863,237565.5,1877743.159930,0
1674198000000,7.88810,7.94630,7.88780,7.91700,813366.2,1674198899999,6447429.926470,10433,421785.8,3343863.757710,0
1674198900000,7.91710,7.98000,7.91000,7.96380,991439.1,1674199799999,7883790.130880,12775,565159.7,4494675.227910,0
1674199800000,7.96440,7.98750,7.93530,7.96920,817206.3,1674200699999,6506652.519010,9187,409026.7,3257330.670220,0
1674200700000,7.97020,7.97250,7.92000,7.93950,522301.2,1674201599999,4147065.919870,7060,227521.5,1806538.414030,0
1674201600000,7.94020,7.95000,7.89430,7.92590,858429.2,1674202499999,6796803.853980,9955,386039.4,3056872.272470,0
1674202500000,7.92620,7.93350,7.86220,7.89230,886212.7,1674203399999,6994575.623840,10482,385496.8,3042816.332880,0
1674203400000,7.89410,7.93300,7.87710,7.92610,744304.9,1674204299999,5888625.078630,10359,386771.0,3060050.376000,0
1674204300000,7.92680,7.92890,7.88730,7.91830,516735.6,1674205199999,4085998.809680,7017,294098.4,2325730.425040,0
1674205200000,7.91950,7.94000,7.87350,7.91710,1007008.6,1674206099999,7966707.155870,12410,510532.7,4040296.431510,0
1674206100000,7.91730,7.98880,7.90540,7.96750,1159816.0,1674206999999,9226388.511200,14791,613507.6,4880623.793920,0
1674207000000,7.96910,8.13580,7.96910,8.10790,3921805.9,1674207899999,31669385.637930,43468,2152355.0,17372681.201550,0
1674207900000,8.10800,8.16800,8.08140,8.12330,2637824.7,1674208799999,21438482.466000,32515,1371622.5,11150485.714410,0
1674208800000,8.12330,8.18610,8.08660,8.09280,2316061.5,1674209699999,18814242.516280,25848,1062623.8,8633560.174690,0
1674209700000,8.09360,8.12500,8.06520,8.07510,1503301.0,1674210599999,12168495.630520,17144,749281.2,6066289.077410,0
1674210600000,8.07530,8.11140,8.07200,8.09020,743814.2,1674211499999,6018914.685150,9631,362583.9,2934192.742500,0
1674211500000,8.09020,8.14900,8.08620,8.12860,1286500.0,1674212399999,10454593.990670,14814,668423.3,5431704.102530,0
1674212400000,8.12720,8.15890,8.06700,8.08030,1503136.6,1674213299999,12190218.771750,16987,751471.3,6097980.932820,0
1674213300000,8.08030,8.10160,8.03510,8.06460,1419050.5,1674214199999,11438858.898200,16008,683790.7,5513833.631560,0
1674214200000,8.06460,8.12480,8.05030,8.08320,1199508.6,1674215099999,9707396.055810,14099,631166.2,5108010.476230,0
1674215100000,8.08360,8.13410,8.07800,8.10930,829574.0,1674215999999,6723740.856750,9613,420280.6,3407014.284750,0
1674216000000,8.10910,8.22510,8.08800,8.15000,3330299.0,1674216899999,27195648.473310,37788,1830381.9,14950277.410960,0
1674216900000,8.14990,8.18390,8.12050,8.17700,1435212.4,1674217799999,11688625.730020,17237,801392.7,6528150.073990,0
1674217800000,8.17630,8.19990,8.11820,8.12820,1484741.0,1674218699999,12103408.106790,17899,662732.2,5403660.416880,0
1674218700000,8.12740,8.15490,8.07970,8.10910,1541374.2,1674219599999,12516532.614320,18631,693267.8,5631411.872280,0
1674219600000,8.10900,8.13920,8.01050,8.10390,2126849.7,1674220499999,17196872.432800,25151,1002495.7,8112064.796090,0
1674220500000,8.10370,8.15740,8.08130,8.13950,1421143.9,1674221399999,11542338.690520,18476,720770.1,5854647.326900,0
1674221400000,8.13940,8.17480,8.10910,8.13430,1309644.0,1674222299999,10666910.699680,16296,626055.6,5099941.745100,0
1674222300000,8.13410,8.15800,8.10220,8.12010,887724.2,1674223199999,7213007.945950,11358,452575.3,3677855.787310,0
1674223200000,8.11860,8.15500,8.09240,8.10180,1135741.8,1674224099999,9222117.442280,13564,572101.1,4645558.018970,0
1674224100000,8.10110,8.12090,8.05820,8.09390,1199243.4,1674224999999,9701229.440780,15041,595495.2,4818878.088970,0
1674225000000,8.09360,8.19000,8.05560,8.15560,2324133.5,1674225899999,18869599.423280,27551,1276664.7,10367487.576450,0
1674225900000,8.15700,8.27590,8.09190,8.14390,3735486.4,1674226799999,30502767.498870,41837,2030470.1,16592378.293610,0
1674226800000,8.14620,8.36580,8.12310,8.28620,5819824.5,1674227699999,48207653.627810,67611,3249740.7,26914395.766040,0
1674227700000,8.28660,8.35000,8.25700,8.31280,3663562.0,1674228599999,30440627.699860,40547,1798762.2,14948643.061560,0
1674228600000,8.31410,8.38880,8.28240,8.29050,3360960.4,1674229499999,28029299.366800,39175,1624676.5,13553664.064850,0
1674229500000,8.29080,8.32430,8.26220,8.31770,1821601.0,1674230399999,15110069.387030,19460,926103.1,7682134.983930,0
1674230400000,8.31740,8.47200,8.29000,8.44280,4758331.2,1674231299999,40000706.651630,56530,2599516.8,21854871.267450,0
1674231300000,8.44230,8.58000,8.43270,8.49320,4689906.6,1674232199999,39774727.170530,55714,2614324.5,22182970.553730,0
1674232200000,8.49320,9.10000,8.49010,8.94750,13550927.1,1674233099999,119597511.325510,164643,7607723.7,67139313.807780,0
1674233100000,8.94760,9.30000,8.90350,9.04000,11662944.3,1674233999999,105869545.551360,145765,6056892.6,55022521.634790,0
1674234000000,9.04080,9.13600,9.02660,9.02930,5106038.4,1674234899999,46387165.933250,68561,2456856.7,22326631.516940,0
1674234900000,9.03040,9.16000,9.02560,9.11890,4152443.0,1674235799999,37806446.844410,57113,2159278.7,19663398.618090,0
1674235800000,9.11930,9.17940,9.07110,9.12560,4207057.7,1674236699999,38400920.717510,55986,2122265.1,19377686.584460,0
1674236700000,9.12450,9.28000,9.10200,9.18630,4528964.3,1674237599999,41556467.067550,58679,2413037.8,22150142.782560,0
1674237600000,9.18740,9.39000,9.07940,9.13470,7561147.6,1674238499999,69567432.126560,87446,3792172.7,34917247.248900,0
1674238500000,9.13460,9.18250,9.08110,9.08750,3361692.0,1674239399999,30641142.416050,47190,1630589.9,14865370.924110,0
1674239400000,9.08750,9.21200,9.08350,9.17440,2786084.9,1674240299999,25482112.561100,37766,1511371.8,13822351.437860,0
1674240300000,9.17390,9.20830,9.14200,9.18000,1887668.7,1674241199999,17312736.485120,25966,967301.2,8873277.563280,0
1674241200000,9.18000,9.22940,9.15100,9.17160,1769821.8,1674242099999,16254167.232860,26122,903011.9,8294569.938880,0
1674242100000,9.17130,9.29500,9.16360,9.24830,2361410.7,1674242999999,21758737.527710,32986,1240175.9,11429730.984330,0
1674243000000,9.24830,9.55550,9.20490,9.38500,6287192.8,1674243899999,58919646.185900,79050,3701673.6,34725820.090050,0
1674243900000,9.38500,9.47800,9.36890,9.46370,4081341.5,1674244799999,38429339.686020,52054,2083577.6,19623205.948210,0
1674244800000,9.46200,9.93000,9.45610,9.74780,14497316.2,1674245699999,140964525.262280,174676,7683290.8,74728877.131330,0
1674245700000,9.74780,9.84990,9.63300,9.69910,5519265.1,1674246599999,53836370.660560,79606,2610909.0,25477611.933690,0
1674246600000,9.69910,9.85000,9.66780,9.70570,4314613.0,1674247499999,42090803.463610,63419,2175656.6,21231074.643070,0
1674247500000,9.70570,9.80680,9.68330,9.79640,2785264.0,1674248399999,27139703.469020,44605,1435217.8,13987984.908700,0
1674248400000,9.79460,9.85130,9.52000,9.57840,5473601.8,1674249299999,52988555.631570,72321,2437447.1,23614791.397550,0
1674249300000,9.57790,9.71760,9.57670,9.69380,2543331.6,1674250199999,24550994.864710,37650,1359134.0,13120286.035450,0
1674250200000,9.69540,9.88500,9.67430,9.82840,3311259.3,1674251099999,32358715.227250,48262,1766461.2,17268855.945280,0
1674251100000,9.82840,9.93600,9.77010,9.87750,4104921.1,1674251999999,40447155.936390,57214,2102032.4,20721639.276100,0
1674252000000,9.87740,11.50000,9.87650,10.98270,22251421.3,1674252899999,237109143.200320,288156,12330137.2,131203905.249680,0
1674252900000,10.98730,11.05510,10.76280,10.87430,6503469.9,1674253799999,71038060.486000,92765,3107266.7,33954908.741240,0
1674253800000,10.87390,11.02820,10.72460,10.92400,5093970.0,1674254699999,55480872.024110,71472,2643162.0,28799506.535980,0
1674254700000,10.92550,11.24000,10.88280,10.92750,4985643.2,1674255599999,54796682.490270,75666,2646908.2,29109827.948130,0
1674255600000,10.92760,11.02810,10.86000,10.96720,3125638.1,1674256499999,34253231.724140,46713,1608911.9,17636338.573150,0
1674256500000,10.96830,11.10770,10.84440,10.90990,4001765.2,1674257399999,43880770.567770,55812,1858285.3,20391632.680910,0
