open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1673740800000,7.71550,7.79850,7.31950,7.54620,5490641.0,1673741699999,41356779.974180,76839,2584006.1,19477075.600340,0
1673741700000,7.54620,7.67410,7.48520,7.53260,2074516.5,1673742599999,15692034.427420,33043,1018376.7,7708451.400350,0
1673742600000,7.53270,7.54100,7.25800,7.35560,3621791.5,1673743499999,26831030.246140,55671,1623760.5,12031558.602930,0
1673743500000,7.35640,7.45000,7.35580,7.39710,1613200.1,1673744399999,11949018.239700,25213,876501.3,6493840.609330,0
1673744400000,7.39700,7.41880,7.21410,7.32220,2262121.7,1673745299999,16565948.651160,32283,1016419.8,7451378.909590,0
1673745300000,7.32240,7.34040,7.25170,7.29720,919841.3,1673746199999,6712749.637410,14814,451968.5,3300287.191640,0
1673746200000,7.29740,7.36440,7.28890,7.35630,552610.3,1673747099999,4055645.265120,8655,286218.0,2100357.060790,0
1673747100000,7.35720,7.43500,7.35590,7.38200,868589.7,1673747999999,6420488.194160,12524,504273.8,3728121.242660,0
1673748000000,7.38250,7.40230,7.33010,7.33760,589183.6,1673748899999,4338668.085850,9860,252329.9,1858312.889280,0
1673748900000,7.33610,7.39710,7.33130,7.37340,490463.7,1673749799999,3611599.823190,7761,276422.2,2035550.463080,0
1673749800000,7.37350,7.40850,7.28150,7.32210,920512.5,1673750699999,6754597.030850,14454,414780.3,3044282.050840,0
1673750700000,7.32100,7.35000,7.28220,7.28930,710992.0,1673751599999,5199805.043350,9957,324265.6,2371728.892530,0
1673751600000,7.28960,7.35310,7.28180,7.30310,669805.0,1673752499999,4896273.734460,11067,343937.9,2514330.886410,0
1673752500000,7.30370,7.32820,7.22230,7.25760,1232704.5,1673753399999,8954285.761020,20947,502441.0,3650543.070040,0
1673753400000,7.25810,7.33720,7.24690,7.33410,615657.3,1673754299999,4490126.923320,10619,344075.6,2510213.263890,0
1673754300000,7.33540,7.37890,7.32060,7.35090,729929.6,1673755199999,5369825.202050,10637,351760.9,2587462.932580,0
1673755200000,7.35150,7.39550,7.35150,7.38030,469104.2,1673756099999,3460539.185920,8184,223696.6,1650313.307800,0
1673756100000,7.38060,7.39720,7.33340,7.35500,539716.4,1673756999999,3977741.082340,8564,232303.9,1712725.712050,0
